6.4600e+03 1.3915e-16
6.4616e+03 1.3983e-16
6.4633e+03 1.3867e-16
6.4649e+03 1.3810e-16
6.4666e+03 1.3960e-16
6.4682e+03 1.4012e-16
6.4699e+03 1.3879e-16
6.4715e+03 1.3909e-16
6.4732e+03 1.3934e-16
6.4748e+03 1.3967e-16
6.4765e+03 1.3909e-16
6.4781e+03 1.3941e-16
6.4798e+03 1.3890e-16
6.4814e+03 1.3968e-16
6.4831e+03 1.3972e-16
6.4847e+03 1.3917e-16
6.4864e+03 1.3989e-16
6.4880e+03 1.3870e-16
6.4897e+03 1.3910e-16
6.4913e+03 1.3922e-16
6.4930e+03 1.3967e-16
6.4946e+03 1.4088e-16
6.4963e+03 1.3978e-16
6.4979e+03 1.3859e-16
6.4996e+03 1.3810e-16
6.5012e+03 1.3944e-16
6.5029e+03 1.4033e-16
6.5045e+03 1.3925e-16
6.5062e+03 1.3889e-16
6.5078e+03 1.4022e-16
6.5095e+03 1.4008e-16
6.5111e+03 1.4024e-16
6.5128e+03 1.3946e-16
6.5144e+03 1.4053e-16
6.5161e+03 1.3943e-16
6.5177e+03 1.3940e-16
6.5194e+03 1.4020e-16
6.5210e+03 1.4068e-16
6.5227e+03 1.3893e-16
6.5243e+03 1.4031e-16
6.5260e+03 1.4035e-16
6.5276e+03 1.3988e-16
6.5293e+03 1.3951e-16
6.5309e+03 1.4087e-16
6.5326e+03 1.3972e-16
6.5342e+03 1.3937e-16
6.5359e+03 1.3953e-16
6.5375e+03 1.4112e-16
6.5392e+03 1.4021e-16
6.5408e+03 1.4061e-16
6.5425e+03 1.4095e-16
6.5441e+03 1.4069e-16
6.5458e+03 1.3978e-16
6.5474e+03 1.3965e-16
6.5491e+03 1.4091e-16
6.5507e+03 1.4023e-16
6.5524e+03 1.3969e-16
6.5540e+03 1.4219e-16
6.5557e+03 1.4144e-16
6.5573e+03 1.4227e-16
6.5590e+03 1.4636e-16
6.5606e+03 1.4755e-16
6.5623e+03 1.4945e-16
6.5639e+03 1.4986e-16
6.5656e+03 1.4568e-16
6.5672e+03 1.4530e-16
6.5689e+03 1.4160e-16
6.5705e+03 1.4171e-16
6.5722e+03 1.4040e-16
6.5738e+03 1.4041e-16
6.5755e+03 1.4076e-16
6.5771e+03 1.3940e-16
6.5788e+03 1.4003e-16
6.5804e+03 1.4065e-16
6.5821e+03 1.4032e-16
6.5837e+03 1.4054e-16
6.5854e+03 1.4062e-16
6.5870e+03 1.4151e-16
6.5887e+03 1.3996e-16
6.5903e+03 1.4139e-16
6.5920e+03 1.3979e-16
6.5936e+03 1.4090e-16
6.5953e+03 1.4031e-16
6.5969e+03 1.3926e-16
6.5986e+03 1.4123e-16
6.6002e+03 1.3998e-16
6.6019e+03 1.4071e-16
6.6035e+03 1.4118e-16
6.6052e+03 1.4055e-16
6.6068e+03 1.3959e-16
6.6085e+03 1.4050e-16
6.6101e+03 1.3936e-16
6.6118e+03 1.4041e-16
6.6134e+03 1.4061e-16
6.6151e+03 1.4074e-16
6.6167e+03 1.4003e-16
6.6184e+03 1.4063e-16
6.6200e+03 1.4066e-16
6.6217e+03 1.3938e-16
6.6233e+03 1.3994e-16
6.6250e+03 1.4131e-16
6.6266e+03 1.4099e-16
6.6283e+03 1.4055e-16
6.6299e+03 1.3981e-16
6.6316e+03 1.4002e-16
6.6332e+03 1.4071e-16
6.6349e+03 1.4151e-16
6.6365e+03 1.4033e-16
6.6382e+03 1.4008e-16
6.6398e+03 1.4123e-16
6.6415e+03 1.3980e-16
6.6431e+03 1.4174e-16
6.6448e+03 1.4064e-16
6.6464e+03 1.4073e-16
6.6481e+03 1.3974e-16
6.6497e+03 1.4139e-16
6.6514e+03 1.4092e-16
6.6530e+03 1.4030e-16
6.6547e+03 1.4119e-16
6.6563e+03 1.4139e-16
6.6580e+03 1.4061e-16
6.6596e+03 1.4120e-16
